planta,fonte,nome,coletor,local,pais,estado,cidade,latitude,longitude,ano,mes,dia
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"Souza, E.B.",Taperuaba Unidade de Conservação Refúgio de Vida Silvestre Pedra da Andorinha (REVIS).,BR,Ceará,Sobral,-4.064167,-39.9975,2016,05,20T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"Sobczak, JCMSM","Fazenda Experimental Piroás, solo com muita serrapilheira.",BR,Ceará,Redenção,0.0,0.0,2015,09,03T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,Franck Rakotonasolo,,MG,Toamasina,,-18.83498,48.458738,2015,10,05T13:33:12
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"Loiola, M.I.B.","barragem Lima Brandão, em frente ao memorial D.C.Prado.",BR,Ceará,Granja,-3.0,-40.0,2014,07,19T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"Batista, W.","congl. 84-P36, sub. 1, árv. 2RN.&nf;Área montanhosa e com muitas pedras. Espécie muito ocorrente em clareira.",BR,Ceará,Guaiúba,-4.072514,-38.722486,2014,08,25T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"CORREIA, B. E. F.",Restinga da Praia de Itatinga,BR,Maranhão,Alcântara,-2.412944,-44.400472,2014,09,05T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"CORREIA, B. E. F.",Restinga da Praia de Itatinga,BR,Maranhão,Alcântara,-2.412944,-44.400472,2014,09,05T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"CORREIA, B. E. F.",Restinga da Praia de Itatinga,BR,Maranhão,Alcântara,-2.412944,-44.400472,2014,09,04T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"Gomes, R.C.","Bacia hidrográfica do riacho Carrapateiras - Tecel, Solo vertissolo; xisto / quartzito",BR,Ceará,Tauá,-5.403611,-40.064722,2013,08,17T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"Loiola, M.I.B.","distrito Rajada, margem direita da estrada(sentido",BR,Ceará,Itapipoca,-3.543611,-39.478056,2013,09,08T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"Salgado, E.V.",RPPN Elias Andrade,BR,Ceará,General Sampaio,0.0,0.0,2011,06,16T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,"Vaz da Silva, I.H.C.V.",Serra das Almas.,BR,Ceará,Crateús,0.0,0.0,2010,06,28T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,Chagas-Mota; A.I.L.Pinheiro,Serra do Ouro.,BR,Alagoas,Murici,0.0,0.0,2009,04,17T00:00:00
Dicliptera ciliaris,gbif,Dicliptera ciliaris Juss.,Chagas-Mota; A.I.L.Pinheiro,Serra do Ouro.,BR,Alagoas,Murici,0.0,0.0,2009,04,17T00:00:00
